Name,Nickname,Subheading,Birthday,Height,ProfileURL,ImageFile,Agency,Hobby,Specialty,Name,kc_name,Group,star_rank1,ep1,ep2,star_rank2,ep3_master,ep3
ARCTIC,ARCTIC,I will bring happiness with my bright energy!,2008.10.09,173,https://share.mnetplus.world/boys2planet/participants/6836cfeef7d8031d1b9fcea0?hl=en,images/1.jpg,IST ENTERTAINMENT,"Listening to songs, taking walks, meditating","Finger tricks, flexibility",Arctic,아틱,K,3,36,31,1,66,50
CHEN BO WEN,CHEN BO WEN,"If it’s something I want, I will do my best to get it",2008.02.01,170,https://share.mnetplus.world/boys2planet/participants/684147451231526cb88a3ef9?hl=en,images/2.jpg,Individual,"Singing, dancing, skiing","Body wave, acting cute",Chen Bo wen,陈博文,C,3,36,16,3,18,27
CHEN KAI WEN,CHEN KAI WEN,"I am KAI WEN, who embraces every challenge with enthusiasm",2005.12.19,182,https://share.mnetplus.world/boys2planet/participants/684147d8a0dc83489d60dfe6?hl=en,images/3.jpg,CHROMOSOME,"Listening to music, playing games, playing with cats, role-playing mystery game","Choreographing, magic",Chen Kai wen,陈凯文,C,2,8,6,1,68,18
CHUEI LI YU,CHUEI LI YU,I will take my first step toward becoming a superstar through BOYS II PLANET!,2004.01.02,180,https://share.mnetplus.world/boys2planet/participants/683d3d2602a1935e6d416fe6?hl=en,images/4.jpg,FNC ENTERTAINMENT,"Listening to music, taking pictures, taking walks",Drawing,Chuei Li yu,최립우,K,1,4,4,1,55,3
CHUNG SANG HYEON,CHUNG SANG HYEON,I will rise to become your all-time number one!,2007.09.19,178.5,https://share.mnetplus.world/boys2planet/participants/683d33f7ff18bf5bf51996d6?hl=en,images/5.jpg,WAKEONE,"Collecting figures, writing rap lyrics","Communicating with animals, training cats",Chung Sang hyeon,정상현,K,2,3,6,1,58,4
DANG HONG HAI,DANG HONG HAI,I will be the highlight of BOYS II PLANET!,2003.10.26,181,https://share.mnetplus.world/boys2planet/participants/6840f9cac6c1623a33cc2a64?hl=en,images/6.jpg,DONGYO ENTERTAINMENT,"Watching the news, taking walks, studying languages, living healthily","Foreign languages (Chinese/Korean/English), face & proportions",Dang Hong Hai,Đặng Hồng Hải,C,3,13,17,2,28,25
FAN ZHE YI,FAN ZHE YI,The phrase “If only I had…” does not exist in my dictionary!,2006.01.22,188,https://share.mnetplus.world/boys2planet/participants/684148b61231526cb88a3efa?hl=en,images/7.jpg,Individual,"Taking photos, fashion styling, traveling, acting","Cooking, striking 10 poses in 10 seconds",Fan Zhe yi,范哲逸,C,3,3,2,1,59,11
HAN HARRY JUNE,HAN HARRY JUNE,I’m aiming for first place,2004.01.01,178,https://share.mnetplus.world/boys2planet/participants/683d406632363472da8ee11d?hl=en,images/8.jpg,BRAVE ENTERTAINMENT,"Taking dance classes, creating choreography,playing basketball, riding a bike while listening to music","Creating choreography, playing basketball, falling asleep within 3 seconds of lying down",Han Harry June,한해리준,K,3,33,34,2,26,47
HE XIN LONG,HE XIN LONG,I will do my best!,2005.03.11,177,https://share.mnetplus.world/boys2planet/participants/6841494379ae5728aa69a608?hl=en,images/9.jpg,NCC ENTERTAINMENT,Listening to music,Choreographing,He Xin long,贺鑫隆,C,3,14,15,3,16,15
HE ZHONG XING,HE ZHONG XING,The stars of a midsummer night will surely shine brightly!,2003.08.08,185,https://share.mnetplus.world/boys2planet/participants/68414990d3b30c641daf8d53?hl=en,images/10.jpg,Individual,Studying stage performances,Striking poses,He Zhong xing,贺仲星,C,2,17,19,1,70,32
HSU CHING YU,HSU CHING YU,I’ll perform without regrets—showing you my coolest and cutest sides on stage!,2009.08.31,174,https://share.mnetplus.world/boys2planet/participants/68397caed0379713d48a9877?hl=en,images/11.jpg,WAKEONE,"Doing laundry, shopping, dancing","Composing music, writing lyrics, creating choreography",Hsu Ching yu,쉬칭위,K,3,24,10,3,9,13
HU HAN WEN,HU HAN WEN,"I believe every drop of sweat I’ve shed was for this moment. Now, I’ll try become a ray of light on stage that shines on you, and a flower that never fades!",2000.12.19,180,https://share.mnetplus.world/boys2planet/participants/68414a0e7e0c946a7370e4e7?hl=en,images/12.jpg,Individual,"Eating meals, exercising, dancing, playing games",Strong stamina and strength,Hu Han wen,胡瀚文,C,2,11,14,1,62,26
JANG HAN EUM,JANG HAN EUM,I’ll strive for perfection and prove it with results.,2004.12.21,183,https://share.mnetplus.world/boys2planet/participants/683d2e1d62e19e064eec8507?hl=en,images/13.jpg,ES NATION,"Listening to music, lying down and resting, playing with pets","Vocals, zoning out",Jang Han eum,장한음,K,2,12,17,1,53,19
JO GYE HYEON,JO GYE HYEON,I aim to shine brighter than anyone else on stage!,1999.05.14,177,https://share.mnetplus.world/boys2planet/participants/683d3c2882e7fe5cb16ec55d?hl=en,images/14.jpg,JELLYFISH ENTERTAINMENT,"Lying down, watching animations and variety shows,singing songs","Singing, dancing",Jo Gye hyeon,조계현,K,3,19,20,3,14,40
JUN LEE JEONG,JUN LEE JEONG,"No matter how distant the dream, I won’t give up.",2003.09.08,178,https://share.mnetplus.world/boys2planet/participants/683d3266f334731f5283e9bf?hl=en,images/15.jpg,CJes Studios,"Composing music, collecting good lines from movies, reading","Composing music, creating choreography, playing guitar",Jun Lee jeong,전이정,K,2,18,24,1,49,34
JUNG HYUN JUN,JUNG HYUN JUN,"With unwavering passion, I’ll grow step by step. Let’s create our brightest planet together—go for it!",2009.03.13,178,https://share.mnetplus.world/boys2planet/participants/683d3b4b2df59069b98136f3?hl=en,images/16.jpg,NOUER ENTERTAINMENT,Playing Animal Crossing,"Equipped with bright energy! (When you see my passion on stage, you will automatically smile! 😊)",Jung Hyun jun,정현준,K,3,41,47,3,7,42
KANG WOO JIN,KANG WOO JIN,I’ll keep going until the day I become your No. 1 star!!,2007.06.07,184.5,https://share.mnetplus.world/boys2planet/participants/6836d98cb12f8f5047c2d8fb?hl=en,images/17.jpg,Individual,"Writing, tasting chocolates from around the world","Playing guitar, composing music, playing baseball",Kang Woo jin,강우진,K,3,25,5,1,61,9
KIM DONG YUN,KIM DONG YUN,There’s more to my charm than you’ve seen—I’ll show you it all~!!!,2002.02.18,177,https://share.mnetplus.world/boys2planet/participants/6837b3921ce69a5b2c4d53ab?hl=en,images/18.jpg,Woollim ENTERTAINMENT,"Playing soccer, taking walks,massaging with a massage ball, drinking Americano with an added shot","Playing soccer, shooting, identifying the song title after hearing just the first 0.1 second",Kim Dong yun,김동윤,K,1,14,22,2,39,38
KIM GEON WOO,KIM GEON WOO,I won’t miss this opportunity. I’ll give my all every moment.,2003.04.11,183.5,https://share.mnetplus.world/boys2planet/participants/6836ddef74902b1be6ccf2ac?hl=en,images/19.jpg,Individual,"Playing soccer and baseball, traveling, watching classical performances","Playing piano, absolute pitch",Kim Geon woo,김건우,K,3,7,9,3,5,17
KIM IN HU,KIM IN HU,"Believing this is my first and last chance, I’ll give it everything I’ve got!",2005.01.22,176.3,https://share.mnetplus.world/boys2planet/participants/6837bd148af5b9434f96054c?hl=en,images/20.jpg,BIG PLANET MADE ENTERTAINMENT,"Going on gourmet tours, taking walks, playing games, watching movies, shopping","Spongebob voice impression, working hard at anything, 
self-questioning, providing irrelevant answers to questions",Kim In hu,김인후,K,2,34,39,3,23,54
KIM JAE HYUN,KIM JAE HYUN,"Hello, I’m “JAE HYUN,” and I’ll ""reproduce (jae-hyun in Korean)"" the best stage right here!",2010.01.03,173,https://share.mnetplus.world/boys2planet/participants/6837bf765c79d84f56b22c30?hl=en,images/21.jpg,CUBE ENTERTAINMENT,"Shopping, listening to songs, watching romance dramas","Playing soccer, songwriting, composing music, speaking calmly",Kim Jae hyun,김재현,K,2,54,18,1,50,31
