Name,Subheading,Birthday,Height,ProfileURL,ImageFile,Agency,Hobby,Specialty,kc_name,Group,star_rank1,ep1,ep2,star_rank2,ep3_master,ep3,ep5,star_rank5,ep7,star_rank7,ep8,ep9,ep11,ep12,eliminated_ep
BIAN SHI YU,"If you get up one more time than you fall, that’s what success is!",2006. 06. 21,172.5,https://share.mnetplus.world/boys2planet/participants/68411bd95a617c7dfa2bb1c1?hl=en,2.jpg,TOPCLASS ENTERTAINMENT,"Badminton, role-playing mystery game, mystery game (Pelican soup riddle)","Moving eyebrows like waves, lifting tongue",卞士宇,C,2,41,38,2,38,62,64,1,,,,,,,5
LEE SANG WON,I will always strive for the best,2003.05.08,177,https://share.mnetplus.world/boys2planet/participants/683d0aeb32363472da8ee11a?hl=en,7.jpg,GRID ENTERTAINMENT,"Digging for music, watching mukbang",DJing,이상원,K,3,1,1,3,2,1,1,3,6,3,,,,,
ZHOU AN XIN,"I will do my very best in this program, show you everything I have, and leave no regrets",2006.12.25,178,https://share.mnetplus.world/boys2planet/participants/684145ec706fa26293682519?hl=en,8.jpg,NOUER ENTERTAINMENT,"Basketball, watching cooking videos, shopping and fashion styling, watching animation",Rapping in three languages,周安信,C,3,1,1,3,3,2,2,3,15,3,,,,,
CHUNG SANG HYEON,I will rise to become your all-time number one!,2007.09.19,178.5,https://share.mnetplus.world/boys2planet/participants/683d33f7ff18bf5bf51996d6?hl=en,5.jpg,WAKEONE,"Collecting figures, writing rap lyrics","Communicating with animals, training cats",정상현,K,2,3,6,1,58,4,3,3,18,3,,,,,
KIM JUN SEO,"Every stage is my last—I’ll give it my all, so please support me!",2001.11.20,178.7,https://share.mnetplus.world/boys2planet/participants/6837c22d266f2842f3e62c18?hl=en,3.jpg,OUI ENTERTAINMENT,"Shopping for base products, doing aerobic exercise (biking), staying hydrated by drinking plenty of water","Acting, taking pretty pictures, giving motivating words to fans",김준서,K,2,8,8,3,10,6,4,3,13,3,,,,,
LEE LEO,I will debut!!,2002.08.22,179,https://share.mnetplus.world/boys2planet/participants/683d082b9d605a41583cecec?hl=en,6.jpg,GRID ENTERTAINMENT,"Watching media, searching for delicious dessert restaurants",Composing music,이리오,K,3,5,2,3,6,5,5,3,43,2,,,,,
CHUEI LI YU,I will take my first step toward becoming a superstar through BOYS II PLANET!,2004.01.02,180,https://share.mnetplus.world/boys2planet/participants/683d3d2602a1935e6d416fe6?hl=en,4.jpg,FNC ENTERTAINMENT,"Listening to music, taking pictures, taking walks",Drawing,최립우,K,1,4,4,1,55,3,6,3,26,2,,,,,
YOO KANG MIN,I treasure each and every day. I’ll give my all on every stage.,2003.01.25,174,https://share.mnetplus.world/boys2planet/participants/683cfde8f334731f5283e9bc?hl=en,3.jpg,JELLYFISH ENTERTAINMENT,"Listening to songs, playing futsal, watching soccer, 
watching movies and dramas","Imitating Conan, doing double-unders with a jump rope",유강민,K,3,2,3,3,4,7,7,3,39,2,,,,,
MASATO,I won’t waste a single moment. I’ll give my all on every stage!,2003.09.21,171,https://share.mnetplus.world/boys2planet/participants/68396af2ff963d45bc7c6686?hl=en,9.jpg,iNKODE ENTERTAINMENT,"Watching animations, taking walks, appreciating nature","Playing table tennis, performing magic tricks, swimming, playing soccer",마사토,K,2,6,7,2,34,8,8,3,32,2,,,,,
HE XIN LONG,I will do my best!,2005.03.11,177,https://share.mnetplus.world/boys2planet/participants/6841494379ae5728aa69a608?hl=en,9.jpg,NCC ENTERTAINMENT,Listening to music,Choreographing,贺鑫隆,C,3,14,15,3,16,15,9,3,9,3,,,,,
KANG WOO JIN,I’ll keep going until the day I become your No. 1 star!!,2007.06.07,184.5,https://share.mnetplus.world/boys2planet/participants/6836d98cb12f8f5047c2d8fb?hl=en,7.jpg,Individual,"Writing, tasting chocolates from around the world","Playing guitar, composing music, playing baseball",강우진,K,3,25,5,1,61,9,10,3,45,2,,,,,
SUN HENG YU,I will set my whole body on fire for debut!,2001.06.22,177,https://share.mnetplus.world/boys2planet/participants/68412c3b09da8c4d959e9632?hl=en,7.jpg,Individual,"Bowling, singing, playing games","Cooking, Korean language",孙亨裕,C,3,53,4,2,25,10,11,3,31,3,,,,,
JANG HAN EUM,I’ll strive for perfection and prove it with results.,2004.12.21,183,https://share.mnetplus.world/boys2planet/participants/683d2e1d62e19e064eec8507?hl=en,3.jpg,ES NATION,"Listening to music, lying down and resting, playing with pets","Vocals, zoning out",장한음,K,2,12,17,1,53,19,12,3,1,3,,,,,
FAN ZHE YI,The phrase “If only I had…” does not exist in my dictionary!,2006.01.22,188,https://share.mnetplus.world/boys2planet/participants/684148b61231526cb88a3efa?hl=en,7.jpg,Individual,"Taking photos, fashion styling, traveling, acting","Cooking, striking 10 poses in 10 seconds",范哲逸,C,3,3,2,1,59,11,13,3,35,3,,,,,
HSU CHING YU,I’ll perform without regrets—showing you my coolest and cutest sides on stage!,2009.08.31,174,https://share.mnetplus.world/boys2planet/participants/68397caed0379713d48a9877?hl=en,1.jpg,WAKEONE,"Doing laundry, shopping, dancing","Composing music, writing lyrics, creating choreography",쉬칭위,K,3,24,10,3,9,13,14,3,33,2,,,,,
SUN JIA YANG,Let’s all become better versions of ourselves together!,2006.01.05,172,https://share.mnetplus.world/boys2planet/participants/6841293b7b61ef5510b8eb9b?hl=en,8.jpg,Hangzhou Time Flowing Culture and Entertainment,"Dancing, drawing",Playing piano,孙佳洋,C,3,5,3,1,60,12,15,3,34,2,,,,,
KIM GEON WOO,I won’t miss this opportunity. I’ll give my all every moment.,2003.04.11,183.5,https://share.mnetplus.world/boys2planet/participants/6836ddef74902b1be6ccf2ac?hl=en,9.jpg,Individual,"Playing soccer and baseball, traveling, watching classical performances","Playing piano, absolute pitch",김건우,K,3,7,9,3,5,17,16,3,11,3,,,,,
YUMEKI,This is my first and final challenge—please stay by my side until the end! Let’s go!,1999.11.12,172,https://share.mnetplus.world/boys2planet/participants/683d00edaf74224bf4de7adb?hl=en,5.jpg,GRIGO ENTERTAINMENT,"Shopping for clothes, watching Korean dramas, mukbang","Flexibility, controlling facial expressions while dancing",유메키,K,1,10,11,3,1,14,17,3,48,2,,,,,
ZHANG JIA HAO,Please look forward to me! I will do my very best with no regrets until the end!,2002.07.07,178,https://share.mnetplus.world/boys2planet/participants/6841456874366b31a1c003ad?hl=en,6.jpg,NOUER ENTERTAINMENT,"Shopping, fashion styling, basketball",Continuously spinning a basketball,张家豪,C,3,12,8,3,8,16,18,3,28,3,,,,,
YI CHEN,I have run this far with a stronger will than anyone. Please let me debut on BOYS II PLANET!! I will become a star that shines brighter than anyone!,1998.09.24,176,https://share.mnetplus.world/boys2planet/participants/684141bd02c5b7121f64db2b?hl=en,2.jpg,WAKEONE,"Biking, hiking, exercising","B-boying, back tumbling",亦辰,C,2,4,7,1,80,21,19,3,17,2,,,,,
SEO WON,I’ve taken a big step to become a star. Please join me on this journey! Let’s chase our dreams together—please show lots of love. 🩵🩵🩵🩵,2000.12.18,170,https://share.mnetplus.world/boys2planet/participants/683976e2956766128aa80fb0?hl=en,6.jpg,Individual,"Window shopping, climbing, taking walks","Self-makeup, calligraphy, girl group dancing",서원,K,1,9,12,3,19,20,20,3,38,2,,,,,
CHEN KAI WEN,"I am KAI WEN, who embraces every challenge with enthusiasm",2005.12.19,182,https://share.mnetplus.world/boys2planet/participants/684147d8a0dc83489d60dfe6?hl=en,3.jpg,CHROMOSOME,"Listening to music, playing games, playing with cats, role-playing mystery game","Choreographing, magic",陈凯文,C,2,8,6,1,68,18,21,3,16,3,,,,,
NA YUN SEO,I will be your best choice!,2010.01.24,170.7,https://share.mnetplus.world/boys2planet/participants/6837dfcd266f2842f3e62c19?hl=en,0.jpg,CUBE ENTERTAINMENT,"Skateboarding, playing soccer, playing soccer games","Dancing, creating choreography, vocals, skateboarding",나윤서,K,2,39,19,3,12,29,22,3,4,3,,,,,
JUN LEE JEONG,"No matter how distant the dream, I won’t give up.",2003.09.08,178,https://share.mnetplus.world/boys2planet/participants/683d3266f334731f5283e9bf?hl=en,5.jpg,CJes Studios,"Composing music, collecting good lines from movies, reading","Composing music, creating choreography, playing guitar",전이정,K,2,18,24,1,49,34,23,3,5,3,,,,,
NIAN BO HENG,I will draw you into the depths of NIAN’s deep voice,2006.01.06,181,https://share.mnetplus.world/boys2planet/participants/6840f860746e21370e0a9685?hl=en,1.jpg,BILL ENTERTAINMENT,"Rapping, playing games, badminton","Rapping fast, beatboxing, trilingual (Korean/English/Chinese)",年博恒,C,3,57,13,3,17,24,24,3,44,2,,,,,
HU HAN WEN,"I believe every drop of sweat I’ve shed was for this moment. Now, I’ll try become a ray of light on stage that shines on you, and a flower that never fades!",2000.12.19,180,https://share.mnetplus.world/boys2planet/participants/68414a0e7e0c946a7370e4e7?hl=en,2.jpg,Individual,"Eating meals, exercising, dancing, playing games",Strong stamina and strength,胡瀚文,C,2,11,14,1,62,26,25,2,25,3,,,,,
SEN,"From beginning to end, I am grateful to everyone and will become the brightest idol!",2005.12.25,170,https://share.mnetplus.world/boys2planet/participants/68411e755a617c7dfa2bb1c2?hl=en,5.jpg,iNKODE,"Drawing, enjoying nature, handwriting, strength training","Skateboarding, acrobatics, standing double jump",센,C,2,30,11,2,45,23,26,2,40,2,,,,,
KIM JUN MIN,"Watch me once, and you’ll want to see me again and again!",2002.12.31,178,https://share.mnetplus.world/boys2planet/participants/6837c0b672e9bb5e3f1a574a?hl=en,2.jpg,CJes Studios,"Dancing, shopping, watching movies",Writing lyrics,김준민,K,3,17,21,3,15,36,27,2,20,3,,,,,
PENG JIN YU,"With 1000% effort, I will run toward my dream. I believe that if there is a will, there is a way!",2006.03.10,178,https://share.mnetplus.world/boys2planet/participants/684148dacb7dda777b2e2d31?hl=en,4.jpg,Individual,"Exercising, eating delicious food, watching dramas","Strong will, excellent language learning ability (can speak a little French, fluent in English, studying Korean!)",彭锦煜,C,3,6,9,1,63,22,28,2,37,2,,,,,
PARK DONG GYU,"I’ve trained for a long time, and I’ll show you the solid skills I’ve built!",2005.03.16,182,https://share.mnetplus.world/boys2planet/participants/6837eab9cbda8e7e840d2708?hl=en,2.jpg,IST ENTERTAINMENT,"Going to cafes and watching people, riding a bike to work",Performing leg fighting,박동규,K,3,28,14,3,11,30,29,2,14,3,,,,,
DANG HONG HAI,I will be the highlight of BOYS II PLANET!,2003.10.26,181,https://share.mnetplus.world/boys2planet/participants/6840f9cac6c1623a33cc2a64?hl=en,6.jpg,DONGYO ENTERTAINMENT,"Watching the news, taking walks, studying languages, living healthily","Foreign languages (Chinese/Korean/English), face & proportions",Đặng Hồng Hải,C,3,13,17,2,28,25,30,2,21,2,,,,,
LI ZI HAO,"BOYS II PLANET, wait for me - I’m coming!",2004.10.22,176,https://share.mnetplus.world/boys2planet/participants/684116b2920f852810393460?hl=en,8.jpg,NCC ENTERTAINMENT,"Singing, dancing, rap, playing games, composition","Freestyle dance, girl group dance",李梓豪,C,2,16,22,2,47,37,31,2,27,2,,,,,
